CHAT: Jun 06 09:23:36 {name  = "Wagu", ucid = "830910a93520c961f509e2cd140297eb", ip = "80.193.168.108:50370", id = 13} said "I have 4 x 2000 penetrators" to all
CHAT: Jun 06 09:27:17 {name  = "shootersix", ucid = "746659c66b72d18410cbea88c47f31c5", ip = "93.56.166.11:12255", id = 19} said "shooter is inbound from the east with 6 bundles of joy" to all
CHAT: Jun 06 09:27:50 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.55.123:54015", id = 2} said "that should be good for a server restart" to all
CHAT: Jun 06 09:27:58 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.55.123:54015", id = 2} said "only 3 ground targets left" to all
CHAT: Jun 06 09:28:09 {name  = "Cornpop 1-1 | BadDude", ucid = "4e348270f05a3bf76bd685fe39f866a6", ip = "73.183.148.137:57924", id = 11} said "please no rain" to all
CHAT: Jun 06 09:28:13 {name  = "shootersix", ucid = "746659c66b72d18410cbea88c47f31c5", ip = "93.56.166.11:12255", id = 19} said "copy" to all
CHAT: Jun 06 09:28:19 {name  = "Banshee 1-2 | Section", ucid = "f7e7e3f6db4637616adeef4c665f5bdf", ip = "70.95.128.53:55683", id = 20} said "Lol plz no rain" to all
CHAT: Jun 06 09:28:48 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.55.123:54015", id = 2} said "yeah i put a ticket in for that in the suggestions... havent heard anything back..." to all
CHAT: Jun 06 09:29:05 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.55.123:54015", id = 2} said "If the server number ends with a "R"  I don't even bother" to all
CHAT: Jun 06 09:29:07 {name  = "Cornpop 1-1 | BadDude", ucid = "4e348270f05a3bf76bd685fe39f866a6", ip = "73.183.148.137:57924", id = 11} said "i flipped out on linda" to all
CHAT: Jun 06 09:30:09 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.55.123:54015", id = 2} said "GG" to all
CHAT: Jun 06 09:30:21 {name  = "shootersix", ucid = "746659c66b72d18410cbea88c47f31c5", ip = "93.56.166.11:12255", id = 19} said "gg" to all
CHAT: Jun 06 09:30:25 {name  = "Griffin 1-1 | LDragon", ucid = "64b8bfe9a98179a6ae5de97883f50cda", ip = "49.51.136.204:61444", id = 9} said "gg boyz" to all
CHAT: Jun 06 09:30:25 {name  = "Banshee 1-2 | Section", ucid = "f7e7e3f6db4637616adeef4c665f5bdf", ip = "70.95.128.53:55683", id = 20} said "sheeeeeeeesh" to all
CHAT: Jun 06 09:30:31 {name  = "Phenex", ucid = "582d035d54843ee4fbc87c27340952ff", ip = "81.242.131.84:53217", id = 10} said "Gg" to all
CHAT: Jun 06 09:30:37 {name  = "Banshee 1-2 | Section", ucid = "f7e7e3f6db4637616adeef4c665f5bdf", ip = "70.95.128.53:55683", id = 20} said "Gg" to all
CHAT: Jun 06 09:31:21 {name  = "angel_9836", ucid = "fb1e43a31f0aa0c2d697dc802f22e9b2", ip = "151.26.23.27:49200", id = 5} said "gg" to all
CHAT: Jun 06 09:34:22 {name  = "Cornpop 1-1 | BadDude", ucid = "4e348270f05a3bf76bd685fe39f866a6", ip = "73.183.148.137:57924", id = 11} said "yah i think they finally listened" to all
CHAT: Jun 06 09:34:47 {name  = "Banshee 1-2 | Section", ucid = "f7e7e3f6db4637616adeef4c665f5bdf", ip = "70.95.128.53:55683", id = 20} said "nice" to all
CHAT: Jun 06 09:48:50 {name  = "Griffin 1-1 | LDragon", ucid = "64b8bfe9a98179a6ae5de97883f50cda", ip = "49.51.136.204:61444", id = 9} said "damn" to all
CHAT: Jun 06 09:49:19 {name  = "Griffin 1-1 | LDragon", ucid = "64b8bfe9a98179a6ae5de97883f50cda", ip = "49.51.136.204:61444", id = 9} said "this is the second time ever that I had destroyed a su27/j11 by pulling too much g" to all
CHAT: Jun 06 09:52:05 {name  = "Banshee 1-2 | Section", ucid = "f7e7e3f6db4637616adeef4c665f5bdf", ip = "70.95.128.53:55683", id = 20} said "tryna get that sam" to all
CHAT: Jun 06 09:53:00 {name  = "Banshee 1-2 | Section", ucid = "f7e7e3f6db4637616adeef4c665f5bdf", ip = "70.95.128.53:55683", id = 20} said "angel mig is closing you" to all
CHAT: Jun 06 09:57:02 {name  = "Banshee 1-2 | Section", ucid = "f7e7e3f6db4637616adeef4c665f5bdf", ip = "70.95.128.53:55683", id = 20} said "Avengers fkn down woooooo" to all
CHAT: Jun 06 10:04:04 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.55.123:63334", id = 12} said "im going after the hawk site" to all
CHAT: Jun 06 10:18:51 {name  = "Griffin 1-1 | LDragon", ucid = "64b8bfe9a98179a6ae5de97883f50cda", ip = "49.51.136.204:61444", id = 9} said "Striker where are you going after" to all
CHAT: Jun 06 10:19:12 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.55.123:63334", id = 12} said "damascus SA-15" to all
CHAT: Jun 06 10:19:27 {name  = "Griffin 1-1 | LDragon", ucid = "64b8bfe9a98179a6ae5de97883f50cda", ip = "49.51.136.204:61444", id = 9} said "great" to all
CHAT: Jun 06 10:19:30 {name  = "Griffin 1-1 | LDragon", ucid = "64b8bfe9a98179a6ae5de97883f50cda", ip = "49.51.136.204:61444", id = 9} said "rgr" to all
CHAT: Jun 06 10:21:03 {name  = "Griffin 1-1 | LDragon", ucid = "64b8bfe9a98179a6ae5de97883f50cda", ip = "49.51.136.204:61444", id = 9} said "gepard is armored" to all
CHAT: Jun 06 10:21:51 {name  = "Cornpop 1-1 | BadDude", ucid = "4e348270f05a3bf76bd685fe39f866a6", ip = "73.183.148.137:57924", id = 11} said "https://www.twitch.tv/videos/997362418 striker you should watch  this" to all
CHAT: Jun 06 10:22:57 {name  = "Cornpop 1-1 | BadDude", ucid = "4e348270f05a3bf76bd685fe39f866a6", ip = "73.183.148.137:57924", id = 11} said "father is able to salvo from a further distance" to all
CHAT: Jun 06 10:23:37 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.55.123:63334", id = 12} said "yeah i need to learn that" to all
CHAT: Jun 06 10:23:41 {name  = "Cornpop 1-1 | BadDude", ucid = "4e348270f05a3bf76bd685fe39f866a6", ip = "73.183.148.137:57924", id = 11} said "afk 7 min" to all
CHAT: Jun 06 10:24:13 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.55.123:63334", id = 12} said "both SA-15 are down wp8" to all
CHAT: Jun 06 10:25:58 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.55.123:63334", id = 12} said "classic that fox is going to be close" to all
CHAT: Jun 06 10:26:02 {name  = "Griffin 1-1 | LDragon", ucid = "64b8bfe9a98179a6ae5de97883f50cda", ip = "49.51.136.204:61444", id = 9} said "crist" to all
CHAT: Jun 06 10:26:10 {name  = "Griffin 1-1 | LDragon", ucid = "64b8bfe9a98179a6ae5de97883f50cda", ip = "49.51.136.204:61444", id = 9} said "I thought I took out the radar" to all
CHAT: Jun 06 10:28:41 {name  = "Griffin 1-1 | LDragon", ucid = "64b8bfe9a98179a6ae5de97883f50cda", ip = "49.51.136.204:61444", id = 9} said "well that was enough mirage for today" to all
CHAT: Jun 06 10:28:54 {name  = "Griffin 1-1 | LDragon", ucid = "64b8bfe9a98179a6ae5de97883f50cda", ip = "49.51.136.204:61444", id = 9} said "those non-guided bombs are really dangerous to use" to all
CHAT: Jun 06 10:30:36 {name  = "Juffo-Wup", ucid = "599a6bd46c345ee48608540fa60af138", ip = "85.156.155.105:59119", id = 3} said "I
 deserved that" to all
CHAT: Jun 06 10:34:00 {name  = "Cornpop 1-1 | BadDude", ucid = "4e348270f05a3bf76bd685fe39f866a6", ip = "73.183.148.137:57924", id = 11} said "lo i aw that" to all
CHAT: Jun 06 10:34:05 {name  = "Cornpop 1-1 | BadDude", ucid = "4e348270f05a3bf76bd685fe39f866a6", ip = "73.183.148.137:57924", id = 11} said "lol i saw that" to all
CHAT: Jun 06 10:34:33 {name  = "Banshee 1-2 | Section", ucid = "f7e7e3f6db4637616adeef4c665f5bdf", ip = "70.95.128.53:55683", id = 20} said "didn't reset my throt. X_x" to all
CHAT: Jun 06 10:36:16 {name  = "Cornpop 1-1 | BadDude", ucid = "4e348270f05a3bf76bd685fe39f866a6", ip = "73.183.148.137:57924", id = 11} said "cant tell you how many times ive gone off the carrier doing the same" to all
CHAT: Jun 06 10:54:18 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.55.123:63334", id = 12} said "my mavericks appear to be bugged" to all
CHAT: Jun 06 10:54:59 {name  = "Griffin 1-1 | LDragon", ucid = "64b8bfe9a98179a6ae5de97883f50cda", ip = "49.51.136.204:61444", id = 9} said "I will grab that one for you for now" to all
CHAT: Jun 06 10:55:05 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.55.123:63334", id = 12} said "i think i got it" to all
CHAT: Jun 06 10:55:14 {name  = "Griffin 1-1 | LDragon", ucid = "64b8bfe9a98179a6ae5de97883f50cda", ip = "49.51.136.204:61444", id = 9} said "oh yeah you did" to all
CHAT: Jun 06 10:55:29 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.55.123:63334", id = 12} said "vechicle was embeded in a pit" to all
CHAT: Jun 06 10:56:15 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.55.123:63334", id = 12} said "yeah i think it wouldnt lock because that last enemy unit was embeded in one of those dug outs..." to all
CHAT: Jun 06 10:56:18 {name  = "Griffin 1-1 | LDragon", ucid = "64b8bfe9a98179a6ae5de97883f50cda", ip = "49.51.136.204:61444", id = 9} said "I feel that" to all
CHAT: Jun 06 10:56:28 {name  = "Griffin 1-1 | LDragon", ucid = "64b8bfe9a98179a6ae5de97883f50cda", ip = "49.51.136.204:61444", id = 9} said "happened a lot with su25t" to all
CHAT: Jun 06 11:00:21 {name  = "Griffin 1-1 | LDragon", ucid = "64b8bfe9a98179a6ae5de97883f50cda", ip = "49.51.136.204:61444", id = 9} said "going for a SEAD run" to all
CHAT: Jun 06 11:06:11 {name  = "SneakyRed", ucid = "b39379e673d1154d6f9e742324d6eb8f", ip = "62.20.255.207:60082", id = 14} said "rtb david" to all
CHAT: Jun 06 11:06:45 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.55.123:63334", id = 12} said "need cap north of damascus" to all
CHAT: Jun 06 11:09:28 {name  = "SneakyRed", ucid = "b39379e673d1154d6f9e742324d6eb8f", ip = "62.20.255.207:60082", id = 14} said "inbound david" to all
CHAT: Jun 06 11:18:15 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.55.123:63334", id = 12} said "need help north of damascus" to all
CHAT: Jun 06 11:23:06 {name  = "Griffin 1-1 | LDragon", ucid = "64b8bfe9a98179a6ae5de97883f50cda", ip = "49.51.136.204:61444", id = 9} said "Loading CAP" to all
CHAT: Jun 06 11:27:13 {name  = "Griffin 1-1 | LDragon", ucid = "64b8bfe9a98179a6ae5de97883f50cda", ip = "49.51.136.204:61444", id = 9} said "departing OSDI 05R" to all
CHAT: Jun 06 11:28:31 {name  = "Griffin 1-1 | LDragon", ucid = "64b8bfe9a98179a6ae5de97883f50cda", ip = "49.51.136.204:61444", id = 9} said "scared the heck out of me" to all
CHAT: Jun 06 11:28:37 {name  = "Griffin 1-1 | LDragon", ucid = "64b8bfe9a98179a6ae5de97883f50cda", ip = "49.51.136.204:61444", id = 9} said "forgot to lock the canopy" to all
CHAT: Jun 06 11:28:40 {name  = "Griffin 1-1 | LDragon", ucid = "64b8bfe9a98179a6ae5de97883f50cda", ip = "49.51.136.204:61444", id = 9} said "crist" to all
CHAT: Jun 06 11:31:42 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.55.123:63334", id = 12} said "Need cap over An Nasiriyah" to all
CHAT: Jun 06 11:55:29 {name  = "Griffin 1-1 | LDragon", ucid = "64b8bfe9a98179a6ae5de97883f50cda", ip = "49.51.136.204:51804", id = 25} said "here we are" to all
CHAT: Jun 06 11:57:44 {name  = "Griffin 1-1 | LDragon", ucid = "64b8bfe9a98179a6ae5de97883f50cda", ip = "49.51.136.204:51804", id = 25} said "try not to put holes on the rwy guys" to all
